folder,id,display_name,description,type,units,domain,labels,calculation,commonly_used,forms
Sleep Questionnaires/General and Sleep Disorder Screening/Pittsburgh Sleep Quality Index (PSQI),feel_hot,(g) Feel too hot,,choices,,how_often,,,,
Sleep Questionnaires/General and Sleep Disorder Screening/Pittsburgh Sleep Quality Index (PSQI),bad_dreams,(h) Had bad dreams,,choices,,how_often,,,,
Sleep Questionnaires/General and Sleep Disorder Screening/Pittsburgh Sleep Quality Index (PSQI),pain,(i) Have pain,,choices,,how_often,,,,
Sleep Questionnaires/General and Sleep Disorder Screening/Pittsburgh Sleep Quality Index (PSQI),trouble_sleep_other,(j) Other reason(s) please describe,,text,,,,,,
Sleep Questionnaires/General and Sleep Disorder Screening/Pittsburgh Sleep Quality Index (PSQI),trouble_sleep_other_spfy,5. How often during the past month have you had trouble sleeping because of the reasons described above?,,choices,,how_often,,,,
Sleep Questionnaires/General and Sleep Disorder Screening/Pittsburgh Sleep Quality Index (PSQI),rx_help_sleep,6. During the past month how often have you taken medicine (prescribed or &quot;over the counter&quot;) to help you sleep?,,choices,,how_often,,,,
Sleep Questionnaires/General and Sleep Disorder Screening/Pittsburgh Sleep Quality Index (PSQI),problem_stay_awake,7. During the past month how often have you had trouble staying awake while driving eating meals or engaging in social activity?,,choices,,how_often,,,,
Sleep Questionnaires/General and Sleep Disorder Screening/Pittsburgh Sleep Quality Index (PSQI),problem_enthusiasm,8. During the past month how much of a problem has it been for you to keep up enthusiasm to get things done?,,choices,,how_often,,,,
Sleep Questionnaires/General and Sleep Disorder Screening/Pittsburgh Sleep Quality Index (PSQI),sleep_quality,9. During the past month how would you rate your sleep quality overall?,,choices,,good_bad,,,,
Sleep Questionnaires/Sleep Disturbance or Insomnia/PROMIS Sleep Disturbance,promis_sleep_quality,1. My sleep quality was,,choices,,good_poor,,,,
Sleep Questionnaires/Sleep Disturbance or Insomnia/PROMIS Sleep Disturbance,promis_sleep_refresh,2. My sleep was refreshing,,choices,,promis_re,,,,
Sleep Questionnaires/Sleep Disturbance or Insomnia/PROMIS Sleep Disturbance,promis_prob_sleep,3. I had a problem with my sleep,,choices,,promis,,,,
Sleep Questionnaires/Sleep Disturbance or Insomnia/PROMIS Sleep Disturbance,promis_diff_fall_asleep,4. I had difficulty falling asleep,,choices,,promis,,,,
Sleep Questionnaires/Sleep Disturbance or Insomnia/PROMIS Sleep Disturbance,promis_sleep_restless,5. My sleep was restless,,choices,,promis,,,,
Sleep Questionnaires/Sleep Disturbance or Insomnia/PROMIS Sleep Disturbance,primos_sleep_try_hard,6. I tried hard to get to sleep,,choices,,promis,,,,
Sleep Questionnaires/Sleep Disturbance or Insomnia/PROMIS Sleep Disturbance,promis_fall_asleep_worry,7. I worried about not being able to fall asleep,,choices,,promis,,,,
Sleep Questionnaires/Sleep Disturbance or Insomnia/PROMIS Sleep Disturbance,promis_sleep_satisfied,8. I was satisfied with my sleep,,choices,,promis_re,,,,
Sleep Questionnaires/Sleep Disturbance or Insomnia/PROMIS Sleep Disturbance,promis_sleep_dist_score,Sleep Disturbance Score Calculation,,integer,,,,,,
Sleep Questionnaires/Sleep Disturbance or Insomnia/PROMIS Sleep Disturbance,promis_sleep_dist_tscore,Sleep Disturbance T Score Calculation,,numeric,,,,,,
Sleep Questionnaires/Hypersomnia/PROMIS Sleep Related Impairment,promis_get_things_done_sleepy,1. I had a hard time getting things done because I was sleepy...,,integer,,promis,,,,
Sleep Questionnaires/Hypersomnia/PROMIS Sleep Related Impairment,promis_felt_alert_woke_up,2. I felt alert when I woke up...,,numeric,,promis_re,,,,
Sleep Questionnaires/Hypersomnia/PROMIS Sleep Related Impairment,promis_felt_tired,3. I felt tired...,,choices,,promis,,,,
Sleep Questionnaires/Hypersomnia/PROMIS Sleep Related Impairment,promis_prob_day_poor_sleep,4. I had problems during the day because of poor sleep...,,choices,,promis,,,,
Sleep Questionnaires/Hypersomnia/PROMIS Sleep Related Impairment,promis_hard_time_concentrate_day,5. I had a hard time concentrating because of poor sleep...,,choices,,promis,,,,
Sleep Questionnaires/Hypersomnia/PROMIS Sleep Related Impairment,promis_felt_irritable_poor_sleep,6. I felt irritable because of poor sleep...,,choices,,promis,,,,
Sleep Questionnaires/Hypersomnia/PROMIS Sleep Related Impairment,promis_sleepy_daytime,7. I was sleepy during the daytime...,,choices,,promis,,,,
Sleep Questionnaires/Hypersomnia/PROMIS Sleep Related Impairment,promis_trouble_stay_awake_day,8. I had trouble staying awake during the day...,,choices,,promis,,,,
Sleep Questionnaires/Hypersomnia/PROMIS Sleep Related Impairment,promis_slp_rel_imp_score,Sleep Related Impairment Score Calculation,,integer,,,,,,
Sleep Questionnaires/Hypersomnia/PROMIS Sleep Related Impairment,promis_slp_rel_imp_tscore,Sleep Related Impairment T Score Calculation,,numeric,,,,,,
